site_id,month_year,actual_kwh,expected_kwh,performance_ratio,deviation_pct,is_anomaly,iso_score,ae_score,prophet_score,severity_score,model_consensus,iso_flagged,ae_flagged,prophet_flagged,severity_label
Site_013,2023-05-01,12443.0,9504.0,1.3092382154882154,30.92382154882155,0.0,0.6040065640996825,0.072246715,0.0,0.26688897603912876,1,1,0,0,LOW
Site_025,2025-03-01,2008.0,1935.0,1.0377260981912144,3.7726098191214463,0.0,0.021075920519234126,0.018849846,1.0,0.26502781401977,0,0,0,0,LOW
Site_023,2021-07-01,1453.0,3518.0,0.4130187606594656,-58.698123934053434,1.0,0.2682064860110652,0.30968258,0.18348532979934754,0.2615428276110989,2,0,1,1,LOW
Site_023,2016-06-01,1395.0,3332.0,0.4186674669867947,-58.13325330132053,1.0,0.3617007721638461,0.33116442,0.0,0.2605878512730511,2,1,1,0,LOW
Site_013,2025-06-01,9961.0,9229.0,1.0793152020803989,7.931520208039874,0.0,0.6009274249801934,0.057102066,0.0,0.26035669236997366,1,1,0,0,LOW
Site_013,2022-06-01,11136.0,9369.0,1.1886007044508486,18.860070445084855,0.0,0.6157127700342018,0.03781999,0.0,0.2595221038001092,1,1,0,0,LOW
Site_013,2023-08-01,9043.0,9313.0,0.9710082680124557,-2.899173198754429,0.0,0.5873600833862187,0.069611594,0.0,0.25930809128281124,1,1,0,0,LOW
Site_013,2023-07-01,9886.0,10094.0,0.9793936992272636,-2.0606300772736277,0.0,0.5733084009662048,0.07803392,0.0,0.25663523121475285,1,1,0,0,LOW
Site_013,2025-03-01,6982.0,8052.0,0.8671137605563836,-13.28862394436165,0.0,0.47942664701417714,0.18421078,0.0,0.256244429364505,2,1,1,0,LOW
Site_025,2025-12-01,1127.0,1076.0,1.0473977695167287,4.739776951672862,0.0,0.1838734637265742,0.049289864,0.6499302081353633,0.2532833899555532,0,0,0,0,LOW
Site_013,2021-04-01,9242.0,8710.0,1.0610792192881746,6.107921928817451,0.0,0.4205332941948272,0.24171495,0.0,0.25281355021949203,2,1,1,0,LOW
Site_013,2024-02-01,6522.0,6313.0,1.0331062886108031,3.3106288610803105,0.0,0.5321523421454812,0.1097895,0.0,0.2512872615833436,2,1,1,0,LOW
Site_013,2021-09-01,8104.0,8243.0,0.9831372073274294,-1.6862792672570668,0.0,0.512563276154979,0.1252662,0.0,0.24886847922729807,2,1,1,0,LOW
Site_026,2025-08-01,3706.0,3165.0,1.1709320695102683,17.093206951026858,0.0,0.2037698965068817,0.009549841,0.6546800858180476,0.24852042436722938,1,0,0,1,LOW
Site_013,2022-08-01,10206.0,9360.0,1.0903846153846153,9.038461538461538,0.0,0.5997867105694346,0.012532937,0.0,0.2443012121572289,1,1,0,0,LOW
Site_013,2023-03-01,5245.0,8133.0,0.6449034796508054,-35.50965203491946,0.0,0.4776762089001034,0.1512958,0.0,0.2440240099377193,2,1,1,0,LOW
Site_013,2022-09-01,7736.0,8202.0,0.9431845891246038,-5.681541087539625,0.0,0.5580248529217287,0.049340785,0.0,0.24047921538856204,1,1,0,0,LOW
Site_013,2024-05-01,10096.0,9457.0,1.0675689965105213,6.756899651052131,0.0,0.5170814024125311,0.09565869,0.0,0.24031310088295832,2,1,1,0,LOW
Site_025,2024-12-01,1002.0,1082.0,0.9260628465804066,-7.393715341959335,0.0,0.17933983029265022,0.020672478,0.6339929172242679,0.23746952873987973,0,0,0,0,LOW
Site_013,2025-10-01,6882.0,6318.0,1.0892687559354226,8.92687559354226,0.0,0.5319501315535634,0.06781699,0.0,0.2365159986657512,1,1,0,0,LOW
Site_013,2024-12-01,2896.0,4498.0,0.6438417074255225,-35.61582925744776,0.0,0.5661261894476135,0.0282567,0.0,0.23634032058404764,1,1,0,0,LOW
Site_013,2024-08-01,8898.0,9267.0,0.9601812884428618,-3.981871155713823,0.0,0.5594156373984248,0.035320375,0.0,0.23612838587697868,1,1,0,0,LOW
Site_013,2022-01-01,1322.0,5519.0,0.2395361478528719,-76.04638521471281,1.0,0.4715855393029187,0.13519639,0.0,0.23595294994977847,2,1,1,0,LOW
Site_015,2025-11-01,182.0,1205.0,0.1510373443983402,-84.89626556016597,1.0,0.2413396703120152,0.3956729,0.0,0.23502137430175463,1,0,1,0,LOW
Site_013,2024-01-01,1347.0,5464.0,0.2465226939970717,-75.34773060029283,1.0,0.47148684662061946,0.13163255,0.0,0.2346661302009345,2,1,1,0,LOW
Site_013,2025-09-01,8836.0,8079.0,1.0936997153113008,9.36997153113009,0.0,0.5084678460880145,0.087577045,0.0,0.2340391045450777,1,1,0,0,LOW
Site_013,2022-12-01,2707.0,4544.0,0.5957306338028169,-40.42693661971831,1.0,0.554056717280236,0.03468271,0.0,0.23376163475659972,1,1,0,0,LOW
Site_013,2023-02-01,3243.0,6345.0,0.5111111111111111,-48.888888888888886,1.0,0.5184425296848387,0.06746352,0.0,0.23098924289009456,1,1,0,0,LOW
Site_014,2025-11-01,148.0,871.0,0.1699196326061997,-83.00803673938002,1.0,0.24437311200375955,0.38013515,0.0,0.23079654239843528,1,0,1,0,LOW
Site_013,2024-06-01,10421.0,9276.0,1.1234368262181975,12.34368262181975,0.0,0.554098851743988,0.023076218,0.0,0.2297162168651429,1,1,0,0,LOW
Site_013,2021-12-01,2980.0,4566.0,0.6526500219010074,-34.734997809899255,0.0,0.5536953723001463,0.022073751,0.0,0.22920396188047462,1,1,0,0,LOW
Site_013,2021-01-01,966.0,5547.0,0.1741481882098431,-82.58518117901569,1.0,0.31963639055045223,0.28664553,0.0,0.22818049080909006,2,1,1,0,LOW
Site_013,2022-07-01,11756.0,10145.0,1.1587974371611631,15.879743716116312,0.0,0.5596275259355138,0.005652074,0.0,0.2258292361474059,1,1,0,0,LOW
Site_013,2023-12-01,3054.0,4522.0,0.6753648827952233,-32.46351172047767,0.0,0.5441143496780356,0.022138331,0.0,0.22539415556485498,1,1,0,0,LOW
Site_013,2025-07-01,10622.0,9993.0,1.0629440608425895,6.2944060842589815,0.0,0.5276591583137149,0.038348366,0.0,0.22448559090423326,1,1,0,0,LOW
Site_013,2023-01-01,1638.0,5492.0,0.2982520029133285,-70.17479970866715,1.0,0.4666077118318538,0.10265066,0.0,0.2225708125512306,2,1,1,0,LOW
Site_013,2022-05-01,11262.0,9552.0,1.1790201005025125,17.902010050251256,0.0,0.5120377478188112,0.040798765,0.0,0.21909466676407396,1,1,0,0,LOW
Site_013,2022-03-01,6953.0,8174.0,0.8506239295326645,-14.937607046733543,0.0,0.43045418845251715,0.13309038,0.0,0.2187633050447127,2,1,1,0,LOW
Site_013,2023-09-01,7786.0,8160.0,0.9541666666666668,-4.583333333333333,0.0,0.4835844056618308,0.070255086,0.0,0.21802304193127534,1,1,0,0,LOW
Site_023,2021-08-01,1500.0,3246.0,0.4621072088724584,-53.789279112754166,1.0,0.2864757065051837,0.29501337,0.0,0.21784495846724683,2,1,1,0,LOW
Site_023,2025-08-01,4768.0,3182.0,1.498428661219359,49.84286612193589,0.0,0.48606693344490326,0.06661939,0.0,0.21774355907112997,1,1,0,0,LOW
Site_013,2025-11-01,4207.0,4835.0,0.8701137538779731,-12.98862461220269,0.0,0.5150097181031263,0.032695957,0.0,0.21744747146732238,1,1,0,0,LOW
Site_025,2025-07-01,2638.0,2402.0,1.0982514571190674,9.825145711906744,0.0,0.11935530590873478,0.012338102,0.6528143334490868,0.21526404128498472,0,0,0,0,LOW
Site_013,2024-07-01,10524.0,10044.0,1.04778972520908,4.778972520908005,0.0,0.5177812784619389,0.019262796,0.0,0.21385449007852905,1,1,0,0,LOW
